"projectID";"topic";"title"
"790934";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"876924";"EIC-SMEInst-2018-2020";"SME instrument"
"968850";"EIC-SMEInst-2018-2020";"SME instrument"
"720579";"FTIPilot-1-2015";"Fast Track to Innovation Pilot"
"736300";"SMEInst-13-2016-2017";"Engaging SMEs in security research and development"
"729448";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"735067";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"661868";"SIE-01-2014-1";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"970887";"INNOSUP-05-2018-2020";"Peer learning of innovation agencies"
"745341";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"777599";"S2R-CFM-IP4-02-2017";"IP4 overall integration and demonstration"
"734404";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"101011162";"H2020-EIC-SMEInst-2020-4";"H2020-EIC Accelerator pilot –SME Instrument - Green Deal"
"674797";"SFS-08-2014";"Resource-efficient eco-innovative food production and processing"
"756014";"SMEInst-05-2016-2017";"Supporting innovative SMEs in the healthcare biotechnology sector"
"101017688";"SESAR-VLD2-01-2020";"Optimised use of Airspace"
"737964";"FTIPilot-01-2016";"Fast Track to Innovation Pilot"
"808720";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"101015462";"S2R-CFM-IP4-01-2020";"Enhancing IP4 Ecosystem"
"101035792";"IBA-EIC-HEALTH-2020";"Ensuring greater synergies by testing new collaboration mechanisms between the EIT Innovation Communities and the Enhanced EIC Pilot in support of the the Green Deal and other Union policy priorities - Health"
"826385";"S2R-CFM-IP4-01-2018";"Passenger service platform specifications for an enhanced multi-modal transport eco-system  including Mobility as a Service (MaaS)"
"734129";"SESAR.IR-VLD.Wave1-13-2015";"Trajectory Based Free Routing"
"653909";"FCT-14-2014";"Ethical/Societal Dimension Topic 2: Enhancing cooperation between law enforcement agencies and citizens - Community policing"
"711260";"ICT-37-2015";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"663699";"BG-12-2014-1";"Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth"
"768079";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"761595";"SMEInst-05-2016-2017";"Supporting innovative SMEs in the healthcare biotechnology sector"
"777742";"MSCA-RISE-2017";"Research and Innovation Staff Exchange"
"673983";"SFS-08-2014-1";"Resource-efficient eco-innovative food production and processing"
"775332";"SMEInst-07-2016-2017";"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
"101005931";"SwafS-27-2020";"Hands-on citizen science and frugal innovation"
"643159";"MSCA-ITN-2014-EID";"Marie Skłodowska-Curie Innovative Training Networks (ITN-EID)"
"733266";"SC1-HCO-01-2016";"Valorisation of FP7 Health and H2020 SC1 research results"
"738123";"JTI-CS2-2016-CFP03-AIR-01-15";"Functional top coat for natural laminar flow"
"645114";"ICT-26-2014";"Photonics KET"
"825567";"ICT-04-2018";"Photonics based manufacturing, access to photonics, datacom photonics and connected lighting"
"886754";"JTI-CS2-2019-CFP10-AIR-02-83";"Innovative weight measurement system for Tilt Rotor application"
"887163";"JTI-CS2-2019-CfP10-LPA-01-73";"Innovative Thrust Reverser Actuator System (ITRAS)"
"886967";"JTI-CS2-2019-CFP10-AIR-02-86";"Development of equipment for composite recycling process of uncured material"
"101003375";"WF-02-2019";"Widening Fellowships"
"951389";"WIDESPREAD-06-2020";"ERA Chairs"
"101003411";"WF-02-2019";"Widening Fellowships"
"633219";"MSCA-NIGHT-2014";"European Researchers' Night (NIGHT)"
"862834";"CE-RUR-10-2019";"Circular bio-based business models for rural communities"
"739793";"INNOSUP-02-2016";"European SME innovation Associate - pilot"
"826356";"EIC-SMEInst-2018-2020";"SME instrument"
"672001";"DRS-17-2014";"Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”"
"959436";"EIC-SMEInst-2018-2020";"SME instrument"
"115850";"IMI2-2014-02-02";"Manufacturing capability"
"863492";"EIC-SMEInst-2018-2020";"SME instrument"
"789831";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"781043";"SMEInst-08-2016-2017";"Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth"
"738614";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"867649";"EIC-SMEInst-2018-2020";"SME instrument"
"697269";"PHC-12-2015-1";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"808669";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"739638";"INNOSUP-02-2016";"European SME innovation Associate - pilot"
"876211";"EIC-SMEInst-2018-2020";"SME instrument"
"101038046";"WF-03-2020";"Widening Fellowships"
"789532";"SMEInst-11-2016-2017";"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
"684100";"SC5-20-2015-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"886609";"JTI-CS2-2019-CFP10-AIR-03-08";"Disassembly and recycling of innovative structures made of different Al-Li alloys"
"726618";"SMEInst-11-2016-2017";"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
"814332";"IBA-ARF-Bulgaria-2018";"9. Innovative Enterprise Week 2018 -  Bulgaria"
"774265";"SFS-35-2017";"Innovative solutions for sustainable food packaging"
"783480";"SMEInst-07-2016-2017";"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
"736445";"SMEInst-11-2016-2017";"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
"887104";"JTI-CS2-2019-CfP10-ENG-04-08";"Revalorisation of Recycled Carbon Fibers and CFRP preparation through Eco design [ECO]"
"782194";"SMEInst-11-2016-2017";"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
"870000";"EIC-FTI-2018-2020";"Fast Track to Innovation (FTI)"
"859087";"EIC-SMEInst-2018-2020";"SME instrument"
"739775";"INNOSUP-02-2016";"European SME innovation Associate - pilot"
"945906";"EIC-SMEInst-2018-2020";"SME instrument"
"762568";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"101009511";"H2020-EIC-SMEInst-2020-4";"H2020-EIC Accelerator pilot –SME Instrument - Green Deal"
"720739";"BBI.VC2.D2-2015";"Innovative cellulose-based composite packaging solutions"
"651921";"SC5-20-2014-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"836051";"EIC-SMEInst-2018-2020";"SME instrument"
"684365";"SC5-20-2015-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"728730";"SMEInst-11-2016-2017";"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
"684497";"SC5-20-2015-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"745058";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"685041";"PHC-12-2015-1";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"673030";"PHC-12-2014-1";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"848827";"EIC-SMEInst-2018-2020";"SME instrument"
"877265";"EIC-SMEInst-2018-2020";"SME instrument"
"807090";"CS2-GAM-2018-FRC";"Fast Rotorcraft"
"945542";"CS2-GAM-2020-FRC";"Fast Rotorcraft ITD GAM 2020"
"860243";"MSCA-ITN-2019";"Innovative Training Networks"
"870227";"SU-SPACE-EGNSS-3-2019-2020";"EGNSS applications fostering societal resilience and protecting the environment"
"951978";"ICT-55-2020";"Interactive Technologies"
"685033";"SC5-20-2015-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"666741";"ICT-37-2014";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"735760";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"849052";"EIC-SMEInst-2018-2020";"SME instrument"
"672611";"SC5-20-2014-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"779152";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"101006396";"SwafS-26-2020";"Innovators of the future: bridging the gender gap"
"655594";"LCE-03-2014";"Demonstration of renewable electricity and heating/cooling technologies"
"779312";"SC1-PM-20-2017";"Methods research for improved health economic evaluation"
"688878";"ICT-36-2015";"Pre-commercial procurement open to all areas of public interest requiring new ICT solutions"
"778219";"MSCA-RISE-2017";"Research and Innovation Staff Exchange"
"776253";"GALILEO-2-2017";"EGNSS mass market applications"
"871018";"DT-TRANSFORMATIONS-07-2019";"The impact of technological transformations on children and youth"
"826324";"S2R-OC-IP2-02-2018";"Modern methodologies and verifications for GNSS in Railways and virtual test environment"
"823731";"MSCA-RISE-2018";"Research and Innovation Staff Exchange"
"101007766";"MSCA-RISE-2020";"Research and Innovation Staff Exchange"
"824565";"SwafS-14-2018-2019-2020";"Supporting the development of territorial Responsible Research and Innovation"
"721733";"MSCA-ITN-2016";"Innovative Training Networks"
"965134";"SC1-BHC-20A-2020";"Pre-commercial procurement (PCP) for integrated care solutions"
"892749";"LC-SC3-EE-2-2018-2019";"Integrated home renovation services"
"101004362";"DT-SPACE-01-EO-2018-2020";"Copernicus market uptake"
"870451";"SPACE-17-TEC-2019";"Access to space"
"820751";"SC5-11-2018";"Digital solutions for water: linking the physical and digital world for water solutions"
"894189";"LC-SC3-EE-2-2018-2019";"Integrated home renovation services"
"754112";"EE-25-2016";"Development and roll-out of innovative energy efficiency services"
"776357";"COMPET-6-2017";"Space portal"
"754702";"SC1-PM-07-2017";"Promoting mental health and well-being in the young"
"813928";"MSCA-ITN-2018";"Innovative Training Networks"
"734928";"MSCA-RISE-2016";"Research and Innovation Staff Exchange"
"783598";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"830296";"EIC-SMEInst-2018-2020";"SME instrument"
"878436";"EIC-SMEInst-2018-2020";"SME instrument"
"782211";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"718618";"SIE-01-2015-1";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"884133";"EIC-SMEInst-2018-2020";"SME instrument"
"836372";"EIC-SMEInst-2018-2020";"SME instrument"
"778591";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"718624";"IT-1-2015";"Small business innovation research for Transport"
"766610";"SMEInst-07-2016-2017";"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
"821079";"JTI-CS2-2017-CfP07-SYS-03-13";"Electro-Mechanical Brake actuation for Small Aircraft [SAT]"
"823720";"MSCA-RISE-2018";"Research and Innovation Staff Exchange"
"769705";"SC1-HCO-17-2017";"Support for large scale uptake of Digital Innovation for Active and Healthy Ageing"
"665825";"ISSI-1-2014";"Pan-European public outreach: exhibitions and science cafés engaging citizens in science"
"674413";"NMP-25-2014";"Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs"
"691519";"FTIPilot-1-2015";"Fast Track to Innovation Pilot"
"717542";"SC5-20-2015-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"736351";"FCH-02-7-2016";"Demonstration of large-scale rapid response electrolysis to provide grid balancing services and to supply hydrogen markets"
"807995";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"744986";"SMEInst-05-2016-2017";"Supporting innovative SMEs in the healthcare biotechnology sector"
"681718";"IT-1-2015-1";"Small business innovation research for Transport"
"684026";"BIOTEC-5b-2015";"SME boosting biotechnology-based industrial processes driving competitiveness and sustainability"
"858247";"EIC-SMEInst-2018-2020";"SME instrument"
"778424";"SMEInst-05-2016-2017";"Supporting innovative SMEs in the healthcare biotechnology sector"
"101018100";"SGA-SC1-CEPI-2020";"Grant to the Coalition for Epidemic Preparedness Innovations (CEPI)"
"783552";"SMEInst-07-2016-2017";"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
"784020";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"692247";"SFS-08-2015-1";"Resource-efficient eco-innovative food production and processing"
"696568";"PHC-12-2015-1";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"664044";"Space-SME-2014-1";"SME Instrument"
"760564";"FTIPilot-01-2016";"Fast Track to Innovation Pilot"
"762574";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"719570";"SIE-01-2015";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"755937";"SMEInst-12-2016-2017";"New business models for inclusive, innovative and reflective societies"
"718558";"SFS-08-2015-1";"Resource-efficient eco-innovative food production and processing"
"782660";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"827367";"EIC-SMEInst-2018-2020";"SME instrument"
"961112";"EIC-SMEInst-2018-2020";"SME instrument"
"735374";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"729891";"SMEInst-05-2016-2017";"Supporting innovative SMEs in the healthcare biotechnology sector"
"858390";"EIC-SMEInst-2018-2020";"SME instrument"
"734430";"MSCA-RISE-2016";"Research and Innovation Staff Exchange"
"687880";"ICT-27-2015";"Photonics KET"
"790600";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"686530";"JTI-CS2-2014-CFP01-FRC-02-01";"Support to the aerodynamic and aeroelastic analysis of a trimmed, complete compound R/C and related issues"
"719161";"NMP-25-2015-1";"Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs"
"821044";"JTI-CS2-2017-CfP07-ENG-03-22";"Development and validation of a Powder HIP route for the manufacture of the UltraFan® Demonstrator IP Turbine casing from  high temperature material allowing product enhancements at significantly lower costs and environmental footprint"
"805754";"SMEInst-07-2016-2017";"Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors"
"828286";"EIC-SMEInst-2018-2020";"SME instrument"
"729294";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"734971";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"814437";"EIC-SMEInst-2018-2020";"SME instrument"
"817124";"EIC-SMEInst-2018-2020";"SME instrument"
"835740";"EIC-SMEInst-2018-2020";"SME instrument"
"719180";"SFS-08-2015";"Resource-efficient eco-innovative food production and processing"
"742542";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"868697";"EIC-SMEInst-2018-2020";"SME instrument"
"672474";"NMP-25-2014-1";"Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs"
"666328";"PHC-12-2014";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"729186";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"781808";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"867653";"EIC-SMEInst-2018-2020";"SME instrument"
"816920";"EIC-SMEInst-2018-2020";"SME instrument"
"782882";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"836253";"EIC-SMEInst-2018-2020";"SME instrument"
"811764";"EIC-SMEInst-2018-2020";"SME instrument"
"774144";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"782099";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"676455";"MSCA-ITN-2015-EID";"Marie Skłodowska-Curie Innovative Training Networks (ITN-EID)"
"809180";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"889000";"EIC-SMEInst-2018-2020";"SME instrument"
"808670";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"836542";"EIC-SMEInst-2018-2020";"SME instrument"
"871631";"ICT-10-2019-2020";"Robotics Core Technology"
"710741";"ICT-37-2015-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"954038";"EIC-SMEInst-2018-2020";"SME instrument"
"805767";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"827511";"EIC-SMEInst-2018-2020";"SME instrument"
"785005";"EE-14-2016-2017";"Construction skills"
"865354";"JTI-CS2-2018-CfP09-SYS-03-19";"Flexible and Automated Manufacturing of wound components for high reliability"
"947496";"EIC-SMEInst-2018-2020";"SME instrument"
"652490";"BG-12-2014-1";"Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth"
"850275";"EIC-SMEInst-2018-2020";"SME instrument"
"875870";"EIC-SMEInst-2018-2020";"SME instrument"
"808777";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"825669";"LC-SC3-CC-4-2018";"Support to sectorial fora"
"817096";"EIC-SMEInst-2018-2020";"SME instrument"
"886287";"EIC-SMEInst-2018-2020";"SME instrument"
"785061";"EE-23-2017";"Innovative financing schemes"
"728378";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"754171";"EE-22-2016-2017";"Project Development Assistance"
"887915";"EIC-SMEInst-2018-2020";"SME instrument"
"649395";"YOUNG-1-2014";"Early job insecurity and labour market exclusion"
"822106";"DT-NMBP-20-2018";"A digital 'plug and produce' online equipment platform for manufacturing (IA)"
"893079";"LC-SC3-EE-4-2019-2020";"Upgrading smartness of existing buildings through innovations for legacy equipment"
"783696";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"791547";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"958730";"EIC-FTI-2018-2020";"Fast Track to Innovation (FTI)"
"867622";"EIC-SMEInst-2018-2020";"SME instrument"
"736683";"SMEInst-03-2016-2017";"Dedicated support to biotechnology SMEs closing the gap from lab to market"
"782319";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"861856";"INNOSUP-02-2019-2020";"European SME innovation Associate - pilot"
"823392";"EIC-SMEInst-2018-2020";"SME instrument"
"728290";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"733664";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"807221";"SMEInst-11-2016-2017";"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
"882623";"EIC-SMEInst-2018-2020";"SME instrument"
"685184";"BG-12-2015-1";"Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth"
"673311";"SIE-01-2014-1";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"745556";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"826657";"EIC-SMEInst-2018-2020";"SME instrument"
"888752";"EIC-SMEInst-2018-2020";"SME instrument"
"861842";"INNOSUP-02-2019-2020";"European SME innovation Associate - pilot"
"877565";"EIC-SMEInst-2018-2020";"SME instrument"
"673566";"SIE-01-2014-1";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"674510";"SIE-01-2014-1";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"743356";"SMEInst-11-2016-2017";"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
"762221";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"696535";"ICT-37-2015";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"698795";"INSO-10-2015-1";"SME business model innovation"
"791727";"SMEInst-13-2016-2017";"Engaging SMEs in security research and development"
"887432";"BBI-2019-SO2-F2";"Apply technological combinations to valorise all components of biomass feedstock"
"755919";"SMEInst-13-2016-2017";"Engaging SMEs in security research and development"
"710995";"SIE-01-2015";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"773639";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"633379";"MSCA-NIGHT-2014";"European Researchers' Night (NIGHT)"
"101038060";"WF-03-2020";"Widening Fellowships"
"892036";"SESAR-ER4-13-2019";"Innovation in Airport Operation"
"968190";"EIC-SMEInst-2018-2020";"SME instrument"
"889126";"EIC-SMEInst-2018-2020";"SME instrument"
"827643";"EIC-SMEInst-2018-2020";"SME instrument"
"967134";"EIC-SMEInst-2018-2020";"SME instrument"
"673770";"NMP-25-2014-1";"Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs"
"854343";"EIC-SMEInst-2018-2020";"SME instrument"
"673416";"ICT-37-2014-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"738777";"SMEInst-08-2016-2017";"Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth"
"808468";"SMEInst-11-2016-2017";"Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials"
